NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO
145,674,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
175,277,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO
175,170,ESCOLA MUNICIPAL JOAQUIM TAVORA
2,466,ESCOLA ESTADUAL MARIA MONTESSORI
4,268,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
3,601,ESCOLA MUNICIPAL C.E.I. ISSA NACLI
4,332,ESCOLA MUNICIPAL JARDIM SANTOS ANDRADE
174,386,UFPR - CENTRO POLITÉCNICO
174,312,COLEGIO ESTADUAL PROFESSOR JOSE GUIMARAES
3,616,ESCOLA MUNICIPAL PROFESSORA MARIA MARLI PIOVEZAN
177,758,COLEGIO ESTADUAL DO PARANA
174,105,COLÉGIO ESTADUAL LUCIA BASTOS
178,570,COLÉGIO POSITIVO
3,658,ESCOLA MUNICIPAL MICHEL KHURY
178,683,ESCOLA MUNICIPAL CEI PADRE FRANCISCO MESZNER
176,501,COLÉGIO ESTADUAL SÃO PEDRO APÓSTOLO
2,58,ESCOLA MUNICIPAL ANISIO TEIXEIRA
145,590,1546 - ESCOLA MUNICIPAL MARINGA - 145ªZE - CURITIBA
175,31,COLÉGIO ESTADUAL PROFESSORA DIRCE CELESTINO DO AMARAL
1,725,CENTRO REDENTORISTA SANTO AFONSO
2,556,ESCOLA MUNICIPAL SANTA AGUEDA
177,721,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
175,352,ESCOLA MUNICIPAL NEWTON BORGES DOS REIS
4,574,UNIVERSIDADE POSITIVO
3,669,COLÉGIO ESTADUAL ANÍBAL KHURY NETO
3,426,ESCOLA MUNICIPAL IRATI
145,587,1813 - COLEGIO ESTADUAL BENEDICTO JOAO CORDEIRO - 145 ª ZE - CURITIBA
4,496,ESCOLA MUNICIPAL PAPA JOAO XXIII
2,422,ESCOLA ESTADUAL DONA BRANCA DO NASCIMENTO MIRANDA
177,511,COLEGIO BOM JESUS (CENTRO)
2,640,COLÉGIO ADVENTISTA UNIDADE BOA VISTA
1,748,COLEGIO ESTADUAL PROFESSOR GUIDO STRAUBE
177,721,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
175,214,ESCOLA MUNICIPAL JOAQUIM TAVORA
176,215,ESCOLA MUNICIPAL MARIA CLARA BRANDÃO TESSEROLLI
176,150,COLÉGIO ESTADUAL CÍVICO MILITAR YVONE PIMENTEL
175,446,COLÉGIO ESTADUAL TATUQUARA - EFM
178,575,COLÉGIO POSITIVO
2,503,SALAO DA IGREJA DE SANTA CANDIDA
175,251,ESCOLA MUNICIPAL MARGARIDA ORSO DALLAGASSA
178,543,INSTITUTO PARANAENSE DOS CEGOS
178,421,CURSO E COLÉGIO ACESSO
3,514,ESCOLA MUNICIPAL MARUMBI
177,649,COLÉGIO ESTADUAL PROFESSOR ELIAS ABRAHÃO
1,341,COLÉGIO CATÓLICA DE CURITIBA
175,233,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
2,562,COLEGIO ESTADUAL PROFESSOR ALGACYR MUNHOZ MAEDER
176,205,COLÉGIO ESTADUAL JOÃO BETTEGA
174,261,ESCOLA MUNICIPAL ROLANDIA
4,350,ESCOLA ESTADUAL JOSE FRESSATO
4,381,FUNDACAO DE AÇÃO SOCIAL DO CAMPO COMPRIDO - FAS (MUNICIPAL)
178,125,COLÉGIO ESTADUAL SANTA FELICIDADE
178,393,COLÉGIO SION
4,417,FUNDACAO DE AÇÃO SOCIAL DO CAMPO COMPRIDO - FAS (MUNICIPAL)
3,306,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
2,582,COLEGIO ESTADUAL  ERMELINO DE LEAO
176,138,ESCOLA MUNICIPAL ARAPONGAS
176,189,COLÉGIO ESTADUAL JOÃO BETTEGA
2,309,ESCOLA ESTADUAL SANTA CANDIDA
145,340,ESCOLA MUNICIPAL SAO MATEUS DO SUL
174,56,COLÉGIO NOSSA SENHORA DA ASSUNCAO
4,631,ESCOLA MUNICIPAL PADRE JOÃO CRUCIANI
177,193,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
1,499,COLÉGIO CATÓLICA DE CURITIBA
3,442,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
178,383,ESCOLA MUNICIPAL PARANAGUÁ
178,562,ESCOLA SANTA TERESINHA DO MENINO JESUS
177,614,COLEGIO SAO JOSE
4,697,COLÉGIO EFETIVO (PARTICULAR)
178,393,COLÉGIO SION
2,640,COLÉGIO ADVENTISTA UNIDADE BOA VISTA
2,72,COLEGIO ESTADUAL LEONCIO CORREIA
4,459,ESCOLA MUNICIPAL SIDONIO MURALHA
178,561,ESCOLA SANTA TERESINHA DO MENINO JESUS
177,94,OPET - ORGANIZACAO PARANAENSE DE ENSINO TECNICO
174,304,COLEGIO ADVENTISTA DO BOQUEIRAO
3,522,ESCOLA MUNICIPAL C.E.I.  RITTA ANNA DE CÁSSIA
174,408,COLÉGIO ESTADUAL PROFESSOR JÚLIO MESQUITA
178,310,CEMEI PROFESSORA LYGIA CARNEIRO
4,643,ESCOLA MUNICIPAL GRACILIANO RAMOS
3,100,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
177,662,ESCOLA ESTADUAL NOSSA SENHORA DE FÁTIMA
178,513,ESCOLA ESTADUAL DOM ORIONE ( ANTIGA ESC. EST.  NILSON BATISTA RIBAS)
4,265,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
176,511,COLÉGIO ESTADUAL PROFESSOR NARCISO MENDES
3,522,ESCOLA MUNICIPAL C.E.I.  RITTA ANNA DE CÁSSIA
174,47,COLÉGIO NOSSA SENHORA DA ASSUNCAO
4,426,COLÉGIO ESTADUAL PROFESSORA HILDEGARD SONDAHL - EFM
178,410,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
4,310,ESCOLA MUNICIPAL SAO MIGUEL
4,320,ESCOLA MUNICIPAL SAO MIGUEL
176,403,COLÉGIO SOCIAL MADRE CLELIA
176,511,COLÉGIO ESTADUAL PROFESSOR NARCISO MENDES
3,88,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
176,164,ESCOLA MUNICIPAL MARIA CLARA BRANDÃO TESSEROLLI
174,47,COLÉGIO NOSSA SENHORA DA ASSUNCAO
176,522,ESCOLA MUNICIPAL JARDIM EUROPA
2,554,SALAO DA IGREJA DE SANTA CANDIDA
2,108,COLÉGIO MADALENA SOFIA
177,291,ESCOLA ESTADUAL LAMENHA LINS
145,501,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
4,569,ESCOLA MUNICIPAL LINA MARIA MOREIRA
1,553,ESCOLA MUNICIPAL PILARZINHO
178,713,CURSO E COLÉGIO ACESSO
4,425,COLEGIO ESTADUAL PROTASIO DE CARVALHO
3,302,COLÉGIO ESTADUAL ALFREDO PARODI
174,51,COLÉGIO NOSSA SENHORA DA ASSUNCAO
3,96,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
178,458,COLÉGIO MARISTA PARANAENSE
3,658,ESCOLA MUNICIPAL MICHEL KHURY
178,588,ESCOLA MUNICIPAL WALTER HOERNER
145,295,1538 - CEI FRANCISCO FRISCHMANN - 145ºZE-CURITIBA
175,384,COLÉGIO ESTADUAL IVO LEAO
4,337,FUNDACAO DE AÇÃO SOCIAL DO CAMPO COMPRIDO - FAS (MUNICIPAL)
175,442,COLÉGIO ESTADUAL PROFESSORA MARLI QUEIROZ AZEVEDO
2,302,ESCOLA MUNICIPAL RAUL GELBECK
175,206,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO
1,204,ESCOLA MUNICIPAL HERLEY MEHL
145,805,ESCOLA MUNICIPAL HERACLITO FONTOURA SOBRAL PINTO
175,240,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO
1,725,CENTRO REDENTORISTA SANTO AFONSO
2,435,COLÉGIO ESTILLO
174,261,ESCOLA MUNICIPAL ROLANDIA
174,261,ESCOLA MUNICIPAL ROLANDIA
4,452,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
177,533,ESCOLA MUNICIPAL BATEL (ESCOLA ESTADUAL DEZENOVE DE DEZEMBRO)
178,446,COLÉGIO ESTADUAL PADRE SILVESTRE KANDORA
3,390,ESCOLA ESTADUAL REPÚBLICA ORIENTAL DO URUGUAI
177,467,SOCIEDADE THALIA
174,7,ESCOLA  MUNICIPAL LAPA
4,239,COLEGIO ESTADUAL PEDRO MACEDO
177,663,ESCOLA ESTADUAL NOSSA SENHORA DE FÁTIMA
3,140,ESCOLA MUNICIPAL PROFESSOR ENÉAS MARQUES DOS SANTOS
3,312,ESCOLA MUNICIPAL DONA LULA
3,104,ESCOLA ESTADUAL SANTA ROSA
176,340,COLÉGIO ESTADUAL JAYME CANET
174,326,COLEGIO PROFESSOR VICTOR DO AMARAL
177,712,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANÁ (PUC/PR)
4,339,FUNDACAO DE AÇÃO SOCIAL DO CAMPO COMPRIDO - FAS (MUNICIPAL)
178,673,ESCOLA ESTADUAL SANTO ANTÔNIO
178,396,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
178,495,COLÉGIO MARISTA PARANAENSE
177,621,ESCOLA MUNICIPAL ITACELINA BITTENCOURT
145,316,1562 - ESCOLA MUNICIPAL PIRATINI
2,518,CEI CURITIBA ANO 300
176,442,COLÉGIO ESTADUAL HOMERO BAPTISTA DE BARROS
176,142,ESCOLA MUNICIPAL DR. OSVALDO CRUZ
145,367,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
4,671,CEI - PROFESSOR ADRIANO GUSTAVO CARLOS ROBINE
1,366,ESCOLA ESTADUAL ALINE PICHETH
174,261,ESCOLA MUNICIPAL ROLANDIA
1,687,COLEGIO ESTADUAL SENADOR MANOEL ALENCAR GUIMARAES
177,545,COLEGIO BOM JESUS (ÁGUA VERDE)
177,665,ESCOLA ESTADUAL NOSSA SENHORA DE FÁTIMA
176,557,COLÉGIO SOCIAL MADRE CLELIA
2,72,COLEGIO ESTADUAL LEONCIO CORREIA
177,236,UTFPR - UNIVERSIDADE TECNOLÓGICA DO PARANA
4,636,ESCOLA MUNICIPAL GRACILIANO RAMOS
177,177,COLEGIO SAGRADO CORACAO DE JESUS
2,335,COLEGIO ESTADUAL CECILIA MEIRELES
178,520,FACULDADE PARANAENSE - FAPAR
177,178,COLEGIO SAGRADO CORACAO DE JESUS
174,160,CEI PROFESSORA TEREZA MATSUMOTO
174,153,ESCOLA MUNICIPAL ROLANDIA
174,109,COLÉGIO ESTADUAL LUCIA BASTOS
145,713,2194 - COLEGIO ENERGIA ATIVA - PARTICULAR - 145ª ZE - CURITIBA
145,713,2194 - COLEGIO ENERGIA ATIVA - PARTICULAR - 145ª ZE - CURITIBA
174,117,COLEGIO ERASTO GAERTNER
1,599,ESCOLA MUNICIPAL CEI PROFESSOR  JOSE WANDERLEY DIAS
177,430,COLÉGIO ESTADUAL HILDEBRANDO DE ARAÚJO
178,610,ESCOLA MUNICIPAL MONSENHOR BOLESLAU FALARZ
4,227,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
177,531,ESCOLA MUNICIPAL BATEL (ESCOLA ESTADUAL DEZENOVE DE DEZEMBRO)
3,390,ESCOLA ESTADUAL REPÚBLICA ORIENTAL DO URUGUAI
2,482,COLÉGIO PASSIONISTA N. S. MENINA
4,610,ESCOLA MUNICIPAL PRESIDENTE TANCREDO DE ALMEIDA NEVES
1,657,COLEGIO POSITIVO JUNIOR
176,318,COLÉGIO STELLA MARIS XAXIM
2,378,ESCOLA MUNICIPAL ENY CALDEIRA
3,152,COLÉGIO ESTADUAL PROFESSORA MARIA AGUIAR TEIXEIRA
4,230,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
178,420,CURSO E COLÉGIO ACESSO
3,81,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
2,301,ESCOLA MUNICIPAL RAUL GELBECK
1,608,COLÉGIO CATÓLICA DE CURITIBA
2,474,ESCOLA MUNICIPAL JAGUARIAIVA
2,305,ESCOLA MUNICIPAL RAUL GELBECK
175,437,COLÉGIO ESTADUAL PROFESSORA MARLI QUEIROZ AZEVEDO
145,739,2178 - COLEGIO ESTADUAL FLAVIO FERREIRA DA LUZ - 145ª ZE - CURITIBA
2,607,COLEGIO ESTADUAL ANGELO GUSSO
2,305,ESCOLA MUNICIPAL RAUL GELBECK
2,307,ESCOLA ESTADUAL SANTA CANDIDA
145,758,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
145,376,1651 - ESCOLA MUNICIPAL RIO NEGRO - 145ªZE - CURITIBA
178,145,COLÉGIO IMACULADA CONCEIÇÃO
145,758,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
145,502,1562 - ESCOLA MUNICIPAL PIRATINI
145,376,1651 - ESCOLA MUNICIPAL RIO NEGRO - 145ªZE - CURITIBA
176,209,ESCOLA MUNICIPAL MARIA CLARA BRANDÃO TESSEROLLI
177,706,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANÁ (PUC/PR)
177,104,ESCOLA ESTADUAL LAMENHA LINS
174,365,ESCOLA MUNICIPAL PROFESSOR GUILHERME BUTLER
174,400,UFPR - CENTRO POLITÉCNICO
174,25,ESCOLA MUNICIPAL PROFESSOR GERMANO PARCIORNIK
178,422,CURSO E COLÉGIO ACESSO
145,843,1562 - ESCOLA MUNICIPAL PIRATINI
145,356,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
145,341,ESCOLA MUNICIPAL SAO MATEUS DO SUL
176,437,COLÉGIO ESTADUAL HOMERO BAPTISTA DE BARROS
174,37,COLEGIO PROFESSOR VICTOR DO AMARAL
145,774,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
176,437,COLÉGIO ESTADUAL HOMERO BAPTISTA DE BARROS
145,774,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
174,116,COLEGIO ERASTO GAERTNER
174,217,CEI ERICO VERISSIMO
176,138,ESCOLA MUNICIPAL ARAPONGAS
2,500,COLEGIO NOSSA SENHORA DO ROSARIO
2,309,ESCOLA ESTADUAL SANTA CANDIDA
176,189,COLÉGIO ESTADUAL JOÃO BETTEGA
3,525,ESCOLA MUNICIPAL DONA LULA
174,56,COLÉGIO NOSSA SENHORA DA ASSUNCAO
175,364,COLÉGIO ESTADUAL DESEMBARGADOR GUILHERME DE ALBUQUERQUE MARANHAO
1,199,ESCOLA MUNICIPAL HERLEY MEHL
4,446,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
4,228,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
178,273,CEMEI PROFESSORA LYGIA CARNEIRO
3,445,ESCOLA MUNICIPAL CORONEL DURIVAL BRITTO E SILVA
174,266,COLEGIO ESTADUAL SANTO AGOSTINHO
178,288,COLÉGIO ESTADUAL PROFESSOR FRANCISCO ZARDO
178,600,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
177,459,UFPR -  SETOR DE CIÊNCIAS SOCIAIS APLICADAS
176,112,COLÉGIO ESTADUAL DOM ÁTTICO EUSÉBIO DA ROCHA
177,556,ESCOLA MUNICIPAL PROFESSORA NANSYR CECATO CAVICHIOLO
174,208,ESCOLA  MUNICIPAL LAPA
4,557,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
4,556,COLÉGIO ESTADUAL PROFESSORA HILDEGARD SONDAHL - EFM
177,584,FACULDADE DE DIREITO DA UNIVERSIDADE FEDERAL DO PARANA
174,272,ESCOLA MUNICIPAL LEONOR CASTELLANO
174,149,COLÉGIO ESTADUAL POLIVALENTE DE CURITIBA
3,445,ESCOLA MUNICIPAL CORONEL DURIVAL BRITTO E SILVA
174,266,COLEGIO ESTADUAL SANTO AGOSTINHO
178,457,COLÉGIO ESTADUAL PROFESSOR OLAVO DEL CLARO
4,603,UNIVERSIDADE POSITIVO
174,163,CEEP CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DE CURITIBA
174,235,COLEGIO ESTADUAL SANTO AGOSTINHO
178,600,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
177,459,UFPR -  SETOR DE CIÊNCIAS SOCIAIS APLICADAS
176,508,COLÉGIO ESTADUAL PROFESSOR NARCISO MENDES
177,720,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
177,556,ESCOLA MUNICIPAL PROFESSORA NANSYR CECATO CAVICHIOLO
174,208,ESCOLA  MUNICIPAL LAPA
174,218,CEI ERICO VERISSIMO
177,195,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
4,584,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
3,466,ESCOLA BANDEIRANTES
176,289,ESCOLA GRACE (ANTIGA FACULDADE SANTA CRUZ - CAMPUS BONAT)
4,385,CEI - CENTRO DE EDUCAÇÃO INFANTIL OLIVIO SOARES SABOIA (MUNICIPAL)
178,533,COLÉGIO BOM JESUS - SEMINÁRIO (ANTIGO NOVO ATENEU)
145,356,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
3,347,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
176,437,COLÉGIO ESTADUAL HOMERO BAPTISTA DE BARROS
174,393,UFPR - CENTRO POLITÉCNICO
1,121,COLEGIO ESTADUAL ANGELO TREVISAN
174,309,COLÉGIO ESTADUAL MILTON CARNEIRO
174,419,COLÉGIO ESTADUAL MILTON CARNEIRO
4,416,ESCOLA MUNICIPAL SIDONIO MURALHA
145,730,2178 - COLEGIO ESTADUAL FLAVIO FERREIRA DA LUZ - 145ª ZE - CURITIBA
145,391,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
178,548,INSTITUTO PARANAENSE DOS CEGOS
177,689,COLEGIO SAO JOSE
174,49,COLÉGIO NOSSA SENHORA DA ASSUNCAO
3,382,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
1,382,COLEGIO BOM JESUS DIVINA PROVIDENCIA (PARTICULAR)
4,643,ESCOLA MUNICIPAL GRACILIANO RAMOS
145,295,1538 - CEI FRANCISCO FRISCHMANN - 145ºZE-CURITIBA
174,394,UFPR - CENTRO POLITÉCNICO
176,485,COLÉGIO ESTADUAL SÃO PEDRO APÓSTOLO
176,485,COLÉGIO ESTADUAL SÃO PEDRO APÓSTOLO
177,416,ESCOLA MUNICIPAL MIGUEL KRUG
2,569,ESCOLA MUNICIPAL ERASMO PILOTTO
3,541,ESCOLA MUNICIPAL MICHEL KHURY
1,469,ESCOLA MUNICIPAL CEI ROMARIO MARTINS
145,810,ESCOLA MUNICIPAL HERACLITO FONTOURA SOBRAL PINTO
145,542,1600 - ESCOLA MUNICIPAL COLOMBO - 145ªZE - CURITIBA
175,10,ESCOLA MUNICIPAL PRO-MORAR BARIGUI-I
3,459,CRECHE MUNICIPAL TRINDADE
1,144,COLÉGIO ADVENTISTA BOM RETIRO (PARTICULAR)
178,338,ESCOLA BAMBINATA
4,583,ESCOLA ESTADUAL MONSENHOR IVO ZANLORENZI
145,659,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
175,33,COLÉGIO ESTADUAL PROFESSORA DIRCE CELESTINO DO AMARAL
175,196,ESCOLA MUNICIPAL DONA POMPILIA
175,353,COLEGIO ESTADUAL MORADIAS MONTEIRO LOBATO
2,635,COLÉGIO ADVENTISTA UNIDADE BOA VISTA
176,387,ESCOLA MUNICIPAL PROFESSOR LEONEL MORO
174,131,COLEGIO ADVENTISTA DO BOQUEIRAO
177,658,ESCOLA ESTADUAL NOSSA SENHORA DE FÁTIMA
4,527,COLÉGIO ESTADUAL PROFESSORA HILDEGARD SONDAHL - EFM
174,133,ESCOLA MUNICIPAL LEONOR CASTELLANO
4,532,ESCOLA MUNICIPAL PROFESSOR FRANCISCO KLENTZ
4,474,COLEGIO ESTADUAL PAULA GOMES
3,609,ESCOLA MUNICIPAL DONA LULA
4,664,PARÓQUIA SANTA AMÉLIA - PAVILHÃO PAROQUIAL
1,724,CENTRO REDENTORISTA SANTO AFONSO
1,148,COLÉGIO CATÓLICA DE CURITIBA
4,568,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
2,130,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
4,199,COLEGIO ESTADUAL PAULA GOMES
174,83,CEI ERICO VERISSIMO
145,657,COLEGIO ESTADUAL PROFESSOR TEOBALDO LEONARDO KLETEMBERG
145,570,1783 - CEI CARLOS DRUMMOND DE ANDRADE - 145ºZE - CURITIBA
1,704,SETOR DE CIENCIAS AGRARIAS
1,662,COLEGIO POSITIVO JUNIOR
177,180,COLÉGIO POSITIVO (ÁGUA VERDE)
174,60,COLÉGIO ESTADUAL PAULINA PACIFICO BORSARI
178,530,COLÉGIO BOM JESUS - SEMINÁRIO (ANTIGO NOVO ATENEU)
4,246,ESCOLA MUNICIPAL PAPA JOAO XXIII
174,45,ESCOLA MUNICIPAL WENCESLAU BRAZ
3,313,ESCOLA MUNICIPAL DONA LULA
3,69,ESCOLA ESTADUAL PROFESSOR NILO BRANDÃO
4,698,UNIVERSIDADE POSITIVO
3,507,ESCOLA MUNICIPAL ELZA LERNER
1,733,ESCOLA MADRE ANATOLIA
4,242,ESCOLA MUNICIPAL PAPA JOAO XXIII
1,759,ESCOLA VICENTINA NOSSA SENHORA DAS MERCES
174,265,CEI PROFESSORA TEREZA MATSUMOTO
177,152,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
4,539,COLEGIO ESTADUAL TEOTONIO VILELA
177,756,COLEGIO ESTADUAL DO PARANA
4,593,ESCOLA ESTADUAL JOSE FRESSATO
4,698,UNIVERSIDADE POSITIVO
3,429,ESCOLA ESTADUAL SANTA ROSA
178,460,COLÉGIO MARISTA PARANAENSE
3,624,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
4,323,ESCOLA MUNICIPAL SAO MIGUEL
1,506,COLEGIO ESTADUAL PROFESSOR LOUREIRO FERNANDES
3,97,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
3,595,ESCOLA BANDEIRANTES
174,383,UFPR - CENTRO POLITÉCNICO
4,500,COLEGIO ESTADUAL TEOTONIO VILELA
174,1,COLÉGIO ESTADUAL GOTTLIEB MUELLER
3,169,COLÉGIO ESTADUAL PROFESSORA MARIA AGUIAR TEIXEIRA
3,351,ESCOLA ESTADUAL REPÚBLICA ORIENTAL DO URUGUAI
3,524,ESCOLA ESTADUAL REPÚBLICA ORIENTAL DO URUGUAI
177,541,COLEGIO BOM JESUS (ÁGUA VERDE)
177,538,COLEGIO BOM JESUS (ÁGUA VERDE)
4,652,ESCOLA MUNICIPAL NOVA ESPERANCA
177,175,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
2,126,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
174,427,CMEI MAESTRINA ESMERALDA ROVANI
177,713,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANÁ (PUC/PR)
178,564,ESCOLA SANTA TERESINHA DO MENINO JESUS
2,193,COLEGIO NOSSA SENHORA DO ROSARIO
1,328,ESCOLA MUNICIPAL ANA HELLA
175,453,COLEGIO ESTADUAL EURIDES BRANDAO
176,543,ESCOLA MUNICIPAL PROFESSOR LEONEL MORO
4,391,ESCOLA ESTADUAL MONSENHOR IVO ZANLORENZI
3,636,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
3,53,ESCOLA MUNICIPAL PREFEITO LINNEU FERREIRA DO AMARAL
174,53,COLÉGIO NOSSA SENHORA DA ASSUNCAO
174,295,COLEGIO ERASTO GAERTNER
4,448,ESCOLA MUNICIPAL SIDONIO MURALHA
176,118,COLÉGIO ESTADUAL DOM ÁTTICO EUSÉBIO DA ROCHA
2,598,COLEGIO ESTADUAL PAPA JOAO PAULO I
145,667,1910 - ESCOLA MADRE TERESA DE CALCUTA - 145ªZE - CURITIBA
175,456,COLÉGIO ESTADUAL DESEMBARGADOR GUILHERME DE ALBUQUERQUE MARANHAO
145,591,1813 - COLEGIO ESTADUAL BENEDICTO JOAO CORDEIRO - 145 ª ZE - CURITIBA
145,361,ESCOLA MUNICIPAL PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA
175,21,COLÉGIO ESTADUAL PROFESSOR ALCYONE MORAES DE CASTRO VELLOZO
175,45,ESCOLA MUNICIPAL JOAQUIM TAVORA
145,371,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
175,270,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
145,625,COLEGIO ESTADUAL LUIZ CARLOS PAULA E SOUZA
175,258,COLÉGIO ESTADUAL ARLINDO CARVALHO DE AMORIM
175,257,COLEGIO ESTADUAL RODOLFO ZANINELLI
4,371,COLEGIO ESTADUAL PAULA GOMES
3,521,ESCOLA MUNICIPAL C.E.I. ISSA NACLI
145,834,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
4,550,ESCOLA MUNICIPAL LINA MARIA MOREIRA
1,388,FUNDACAO DE ESTUDOS SOCIAIS DO PARANA - FESP
145,649,1813 - COLEGIO ESTADUAL BENEDICTO JOAO CORDEIRO - 145 ª ZE - CURITIBA
145,815,ESCOLA MUNICIPAL PROFESSORA NATHÁLIA DE CONTO COSTA
2,304,ESCOLA MUNICIPAL RAUL GELBECK
1,418,ESCOLA MUNICIPAL JULIA AMARAL DI LENNA
176,258,COLÉGIO ESTADUAL NEWTON FERREIRA DA COSTA
2,487,ESCOLA MUNICIPAL ERASMO PILOTTO
176,429,ESCOLA MUNICIPAL PARANAVAÍ
3,100,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
175,60,ESCOLA MUNICIPAL NOSSA SENHORA DA LUZ DOS PINHAIS
176,115,COLÉGIO ESTADUAL DOM ÁTTICO EUSÉBIO DA ROCHA
3,682,ESCOLA MUNICIPAL PROFESSORA MARIA MARLI PIOVEZAN
178,513,ESCOLA ESTADUAL DOM ORIONE ( ANTIGA ESC. EST.  NILSON BATISTA RIBAS)
174,249,COLÉGIO ESTADUAL MILTON CARNEIRO
178,701,ESCOLA MUNICIPAL DOS VINHEDOS
3,327,ESCOLA MUNICIPAL PROFESSOR JOÃO  MACEDO FILHO
4,601,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
4,420,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
3,399,ESCOLA MUNICIPAL ELZA LERNER
3,533,COLÉGIO ESTADUAL ALFREDO PARODI
1,119,COLEGIO ESTADUAL ANGELO TREVISAN
174,369,COLÉGIO ESTADUAL MILTON CARNEIRO
177,191,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
174,369,COLÉGIO ESTADUAL MILTON CARNEIRO
4,251,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL NICE BRAGA
177,90,UTFPR - UNIVERSIDADE TECNOLÓGICA DO PARANA
4,330,ESCOLA MUNICIPAL HEITOR ALENCAR FURTADO
4,694,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA
177,125,OPET - ORGANIZACAO PARANAENSE DE ENSINO TECNICO
1,683,COLEGIO DOM BOSCO
4,554,COLEGIO (PARTICULAR) MARTINUS PORTÃO
3,373,COLÉGIO ESTADUAL SENHORINHA DE MORAES SARMENTO
176,286,CMEI VILA LEÃO
177,167,ESCOLA ESTADUAL JOAO TURIN
174,20,COLÉGIO ESTADUAL PROFESSORA LUIZA ROSS
